ad_output_id,keyword,confidence_score,category,location,impressions,clicks,ctr
9beb9e87-6cd1-4016-987b-1436aa0c18a8,man,0.95,object,middle-center,726,22,0.0303
9beb9e87-6cd1-4016-987b-1436aa0c18a8,room,0.9,background,unknown,726,22,0.0303
9beb9e87-6cd1-4016-987b-1436aa0c18a8,posture,0.85,emotion,middle-center,726,22,0.0303
9beb9e87-6cd1-4016-987b-1436aa0c18a8,comfort,0.8,emotion,unknown,726,22,0.0303
210ac032-ada6-47fc-9ff9-318597b45c98,Nike shoes,0.9,object,bottom-center,605,15,0.0248
210ac032-ada6-47fc-9ff9-318597b45c98,man,0.85,object,middle-center,605,15,0.0248
210ac032-ada6-47fc-9ff9-318597b45c98,sidewalk,0.8,background,middle-left,605,15,0.0248
210ac032-ada6-47fc-9ff9-318597b45c98,urban environment,0.75,background,top-right,605,15,0.0248
ec1869d5-dcb6-4138-821c-b5f75bcbba01,Nike sneakers,0.95,object,middle-center,1370,92,0.0672
ec1869d5-dcb6-4138-821c-b5f75bcbba01,lace-up closure,0.88,object,middle-center,1370,92,0.0672
ec1869d5-dcb6-4138-821c-b5f75bcbba01,white background,0.92,background,middle-center,1370,92,0.0672
e847afe3-1131-4712-abdb-31bf6f8c1d2d,woman,0.95,object,middle-center,438,12,0.0274
e847afe3-1131-4712-abdb-31bf6f8c1d2d,Nike shoes,0.9,object,bottom-left,438,12,0.0274
e847afe3-1131-4712-abdb-31bf6f8c1d2d,bench,0.85,object,middle-left,438,12,0.0274
e847afe3-1131-4712-abdb-31bf6f8c1d2d,color scheme,0.8,background,unknown,438,12,0.0274
2c72b015-a069-4ba5-a86b-faadde75a454,sneakers,0.95,object,middle-center,628,14,0.0223
2c72b015-a069-4ba5-a86b-faadde75a454,shoe laces,0.9,object,middle-left,628,14,0.0223
2c72b015-a069-4ba5-a86b-faadde75a454,shoe tongue,0.9,object,middle-right,628,14,0.0223
2c72b015-a069-4ba5-a86b-faadde75a454,shoe sole,0.85,object,middle-center,628,14,0.0223
92a4cd64-7898-4e20-aa7f-c0166b466ec8,woman,0.95,object,middle-center,1151,32,0.0278
92a4cd64-7898-4e20-aa7f-c0166b466ec8,push-up,0.9,action,middle-center,1151,32,0.0278
92a4cd64-7898-4e20-aa7f-c0166b466ec8,blue workout outfit,0.85,object,middle-center,1151,32,0.0278
92a4cd64-7898-4e20-aa7f-c0166b466ec8,background,0.85,background,unknown,1151,32,0.0278
92a4cd64-7898-4e20-aa7f-c0166b466ec8,determination,0.8,emotion,middle-center,1151,32,0.0278
2290f6e4-4aa5-451a-a7ee-06f5418d617a,women,0.95,object,middle-center,1125,39,0.0347
2290f6e4-4aa5-451a-a7ee-06f5418d617a,athletic clothing,0.9,object,middle-center,1125,39,0.0347
2290f6e4-4aa5-451a-a7ee-06f5418d617a,background,0.89,background,unknown,1125,39,0.0347
2290f6e4-4aa5-451a-a7ee-06f5418d617a,strength,0.85,emotion,middle-center,1125,39,0.0347
2290f6e4-4aa5-451a-a7ee-06f5418d617a,unity,0.84,emotion,middle-center,1125,39,0.0347
9f182b3d-4d47-4b68-9091-3ff5ab6c4206,young man,0.95,object,middle-center,500,11,0.022
9f182b3d-4d47-4b68-9091-3ff5ab6c4206,city street,0.9,background,unknown,500,11,0.022
9f182b3d-4d47-4b68-9091-3ff5ab6c4206,Nike Air Force,0.92,object,bottom-center,500,11,0.022
9f182b3d-4d47-4b68-9091-3ff5ab6c4206,vehicles,0.85,object,unknown,500,11,0.022
9f182b3d-4d47-4b68-9091-3ff5ab6c4206,traffic lights,0.88,object,unknown,500,11,0.022
28ef2a28-c1fb-45f0-8846-cf373d036c33,woman,0.95,object,middle-center,389,5,0.0129
28ef2a28-c1fb-45f0-8846-cf373d036c33,sports bra,0.9,object,unknown,389,5,0.0129
28ef2a28-c1fb-45f0-8846-cf373d036c33,yoga pose,0.93,action,unknown,389,5,0.0129
28ef2a28-c1fb-45f0-8846-cf373d036c33,white room,0.85,background,unknown,389,5,0.0129
28ef2a28-c1fb-45f0-8846-cf373d036c33,sports balls,0.88,object,bottom-left,389,5,0.0129
73c70c20-f566-4b77-a891-51f7eaf23575,Nike shoe,0.95,object,middle-center,662,13,0.0196
73c70c20-f566-4b77-a891-51f7eaf23575,white sole,0.9,object,middle-center,662,13,0.0196
73c70c20-f566-4b77-a891-51f7eaf23575,black and white,0.85,background,unknown,662,13,0.0196
73c70c20-f566-4b77-a891-51f7eaf23575,advertisement,0.8,object,bottom-left,662,13,0.0196
5128e96b-4fc6-4630-8d07-0ab60a9148ec,basketball player,0.9,object,middle-center,566,10,0.0177
5128e96b-4fc6-4630-8d07-0ab60a9148ec,purple shoe,0.95,object,middle-left,566,10,0.0177
5128e96b-4fc6-4630-8d07-0ab60a9148ec,basketball,0.85,object,middle-right,566,10,0.0177
5128e96b-4fc6-4630-8d07-0ab60a9148ec,basketball court,0.8,background,bottom-center,566,10,0.0177
5128e96b-4fc6-4630-8d07-0ab60a9148ec,bench,0.75,background,bottom-right,566,10,0.0177
3e14885b-2ece-480a-9cdd-f920bc94bcbc,Nike shoes,0.95,object,middle-center,836,26,0.0311
3e14885b-2ece-480a-9cdd-f920bc94bcbc,person's legs,0.85,object,middle-center,836,26,0.0311
3e14885b-2ece-480a-9cdd-f920bc94bcbc,wooden wall,0.9,background,unknown,836,26,0.0311
daaa5ecd-140e-47f0-ab14-57ca6a4d460e,Nike Basketball PG 1,0.95,object,middle-center,488,8,0.0164
daaa5ecd-140e-47f0-ab14-57ca6a4d460e,Logo,0.9,object,middle-right,488,8,0.0164
daaa5ecd-140e-47f0-ab14-57ca6a4d460e,Background,0.85,background,unknown,488,8,0.0164
acd4a117-996b-403a-a8d8-a7b7a5d6503b,Nike Metcon 5,0.95,object,middle-center,1320,65,0.0492
acd4a117-996b-403a-a8d8-a7b7a5d6503b,person,0.85,object,middle-center,1320,65,0.0492
acd4a117-996b-403a-a8d8-a7b7a5d6503b,wooden floor,0.9,background,bottom-center,1320,65,0.0492
8248ac5a-39a5-4761-98c5-77f6dfd83231,woman,0.95,object,middle-center,738,20,0.0271
8248ac5a-39a5-4761-98c5-77f6dfd83231,black outfit,0.9,object,middle-center,738,20,0.0271
8248ac5a-39a5-4761-98c5-77f6dfd83231,dimly lit room,0.85,background,unknown,738,20,0.0271
8248ac5a-39a5-4761-98c5-77f6dfd83231,arms outstretched,0.92,object,middle-center,738,20,0.0271
8248ac5a-39a5-4761-98c5-77f6dfd83231,contrast,0.88,emotion,unknown,738,20,0.0271
1eba2a4a-883f-4f0a-9746-d955b00d4d2f,woman,0.95,object,middle-center,715,19,0.0266
1eba2a4a-883f-4f0a-9746-d955b00d4d2f,orange background,0.9,background,unknown,715,19,0.0266
1eba2a4a-883f-4f0a-9746-d955b00d4d2f,sneakers,0.85,object,unknown,715,19,0.0266
1eba2a4a-883f-4f0a-9746-d955b00d4d2f,athleticism,0.92,emotion,middle-center,715,19,0.0266
48ea9e0d-bb04-4dff-b824-06bc039757f4,sneaker,0.95,object,middle-center,1044,30,0.0287
48ea9e0d-bb04-4dff-b824-06bc039757f4,Nike,0.9,brand,top-center,1044,30,0.0287
48ea9e0d-bb04-4dff-b824-06bc039757f4,basketball,0.85,emotion,bottom-center,1044,30,0.0287
48ea9e0d-bb04-4dff-b824-06bc039757f4,clean composition,0.8,background,unknown,1044,30,0.0287
9f32a4a3-d3ee-456f-8e92-aabc157d9c85,shoe,0.95,object,middle-center,1366,54,0.0395
9f32a4a3-d3ee-456f-8e92-aabc157d9c85,colors,0.92,object,middle-center,1366,54,0.0395
9f32a4a3-d3ee-456f-8e92-aabc157d9c85,design,0.88,object,middle-center,1366,54,0.0395
27370685-1cdc-4331-bc78-7a80c29bc669,Nike shoes,0.9,object,middle-center,558,9,0.0161
27370685-1cdc-4331-bc78-7a80c29bc669,basketball court,0.85,background,bottom-center,558,9,0.0161
27370685-1cdc-4331-bc78-7a80c29bc669,person's feet,0.8,object,middle-left,558,9,0.0161
27370685-1cdc-4331-bc78-7a80c29bc669,black socks,0.75,object,middle-left,558,9,0.0161
8ba7fa5f-6049-4f8c-89ab-d375ea6e4d2b,confidence,0.9,emotion,middle-center,868,25,0.0288
8ba7fa5f-6049-4f8c-89ab-d375ea6e4d2b,Nike swoosh,0.95,object,middle-center,868,25,0.0288
8ba7fa5f-6049-4f8c-89ab-d375ea6e4d2b,red jacket,0.9,object,middle-center,868,25,0.0288
8ba7fa5f-6049-4f8c-89ab-d375ea6e4d2b,red shirt,0.9,object,middle-center,868,25,0.0288
8ba7fa5f-6049-4f8c-89ab-d375ea6e4d2b,ponytail,0.8,object,top-right,868,25,0.0288
8ba7fa5f-6049-4f8c-89ab-d375ea6e4d2b,necklace,0.7,object,middle-left,868,25,0.0288
df09c058-57cd-41f9-9366-2151c59ae02a,Nike shoes,0.95,object,middle-center,784,17,0.0217
df09c058-57cd-41f9-9366-2151c59ae02a,purple background,0.9,background,middle-left,784,17,0.0217
df09c058-57cd-41f9-9366-2151c59ae02a,red background,0.9,background,middle-right,784,17,0.0217
df09c058-57cd-41f9-9366-2151c59ae02a,arrangement,0.85,emotion,middle-center,784,17,0.0217
df09c058-57cd-41f9-9366-2151c59ae02a,unique features,0.85,object,middle-center,784,17,0.0217
a9b97bd0-40df-48d4-99c6-497cbdd50ac8,sneaker,0.95,object,middle-center,702,21,0.0299
a9b97bd0-40df-48d4-99c6-497cbdd50ac8,lacing system,0.9,object,middle-center,702,21,0.0299
a9b97bd0-40df-48d4-99c6-497cbdd50ac8,sophistication,0.85,emotion,unknown,702,21,0.0299
a9b97bd0-40df-48d4-99c6-497cbdd50ac8,comfort,0.8,emotion,unknown,702,21,0.0299
e7095c35-f5cf-4a24-b9eb-0b48bc0a8dbf,Nike basketball shoes,0.9,object,middle-center,785,24,0.0306
e7095c35-f5cf-4a24-b9eb-0b48bc0a8dbf,Nike swoosh logo,0.95,object,middle-right,785,24,0.0306
e7095c35-f5cf-4a24-b9eb-0b48bc0a8dbf,white surface,0.85,background,bottom-center,785,24,0.0306
